SSC,population
Duffys Forest,475
Dulguigan,126
Dulwich Hill,13710
Dum Dum,121
Dumaresq,83
Dumaresq Island,66
Dumaresq Valley,37
Dumbudgery,0
Dunbible,354
Dunbogan,1002
Duncans Creek,57
Dundas (NSW),4735
Dundas Valley,5411
Dundee,156
Dundurrabin,94
Dunedoo,1219
Dungarubba,60
Dungay,218
Dungeree,0
Dungog,2024
Dungowan,401
Dunkeld (NSW),42
Dunmore (NSW),208
Dunolly (NSW),92
Dunoon,688
Duns Creek,546
Dunville Loop,14
Dural (Hornsby - NSW),7569
Dural (Singleton - NSW),0
Duramana,204
Duranbah,238
Duri,531
Duroby,57
Durran Durra,107
Durras North,27
Durren Durren,78
Duval,0
Dyers Crossing,340
Dyraaba,94
Dyrring,88
Eagle Vale,5787
Eagleton,208
Earlwood,17742
East Albury,6100
East Ballina,5574
East Branxton,1809
East Coraki,203
East Corrimal,3406
East Gosford,4238
East Gresford,309
East Hills,3205
East Jindabyne,695
East Kangaloon,82
East Kempsey,1359
East Killara,2974
East Kurrajong,2195
East Lindfield,3714
East Lismore,4988
East Lynne,95
East Maitland,11785
East Ryde,2452
East Seaham,327
East Tamworth,5342
East Wagga Wagga,235
East Wardell,305
Eastern Creek,828
Eastgardens,860
Eastlakes,6915
Eastwood (NSW),17870
Eatonsville,222
Ebenezer (NSW),991
Ebor,169
Eccleston,35
Edderton,0
Eden,3146
Eden Creek,153
Edensor Park,9772
Edenville,74
Edgecliff,2580
Edgeroi,106
Edgeworth,6209
Edith (NSW),92
Edmondson Park,2277
Edrom,0
Eenaweena,14
Eglinton (NSW),2250
Eighteen Mile,0
Elands,210
Elanora Heights,4362
Elcombe,34
Elderslie (Camden - NSW),6003
Elderslie (Singleton - NSW),129
Eleebana,5756
Elermore Vale,5530
Elizabeth Bay,5215
Elizabeth Beach,216
Elizabeth Hills,2534
Ellalong,1102
Elland,332
Ellangowan (NSW),327
Ellenborough,192
Ellerslie (Snowy Valleys - NSW),49
Ellerslie (Wentworth - NSW),83
Ellerston,129
Ellis Lane,859
Elong Elong,118
Elrington,113
Elsmore,353
Eltham (NSW),338
Elvina Bay,84
Emerald Beach,2232
Emerald Hill,143
Emerton,2250
Emmaville,521
Empire Bay,2401
Empire Vale,174
Emu Heights (NSW),3287
Emu Plains,8415
Emu Swamp,162
Endrick,0
Enfield (NSW),2834
Engadine,17376
Englorie Park,415
Enmore (Armidale Regional - NSW),55
Enmore (Inner West - NSW),3879
Enngonia,147
Environa,0
Epping (NSW),23691
Eraring,215
Eremerang,16
Erigolia,51
Erin Vale,55
Erina,4780
Erina Heights,425
Ermington,10738
Erowal Bay,625
Errowanbang,40
Erskine Park,6440
Erskineville,8014
Erudgere,111
Eschol Park,2582
Esk (NSW),0
Essington,90
Estella,2269
Ettalong Beach,4793
Ettamogah,45
Ettrema,0
Ettrick (NSW),134
Euabalong,187
Euabalong West,64
Euberta,138
Euchareena,197
Eucumbene,10
Eugowra,781
Eulah Creek,77
Eumungerie,305
Eunanoreenya,172
Eungai Creek,428
Eungai Rail,225
Eungella (NSW),338
Eureka (NSW),343
Eurimbla,35
Eurobodalla,92
Euroka,354
Euroley,75
Eurongilly,123
Eurunderee,163
Euston,839
Evans Head,2847
Evans Plains,162
Eveleigh,666
Eviron,192
Ewingar,66
Ewingsdale,823
