"","SSC","variable","value"
"629","Buckendoon","Buddhism",0
"630","Bucketty","Buddhism",6
"631","Buckra Bendinni","Buddhism",6
"632","Budawang","Buddhism",0
"633","Buddabadah","Buddhism",0
"634","Budden","Buddhism",0
"635","Budderoo","Buddhism",0
"636","Buddong","Buddhism",0
"637","Budgee Budgee (NSW)","Buddhism",0
"638","Budgewoi","Buddhism",23
"639","Budgewoi Peninsula","Buddhism",0
"640","Budgong","Buddhism",0
"641","Buff Point","Buddhism",37
"642","Bugaldie","Buddhism",0
"643","Bukalong","Buddhism",0
"644","Bukkulla","Buddhism",0
"645","Bulahdelah","Buddhism",8
"646","Bulee","Buddhism",0
"647","Bulga (NSW)","Buddhism",0
"648","Bulga Forest","Buddhism",0
"649","Bulgary","Buddhism",0
"650","Bulla (NSW)","Buddhism",0
"651","Bulla Creek","Buddhism",0
"652","Bullaburra","Buddhism",20
"653","Bullagreen","Buddhism",0
"654","Bullarah","Buddhism",0
"655","Bullatale","Buddhism",0
"656","Bullawa Creek","Buddhism",0
"657","Bulldog","Buddhism",3
"658","Bulli","Buddhism",67
"659","Bulliac","Buddhism",0
"660","Bullio","Buddhism",0
"661","Bulyeroi","Buddhism",0
"662","Bumbaldry","Buddhism",0
"663","Bumbalong","Buddhism",0
"664","Bundabah","Buddhism",0
"665","Bundagen","Buddhism",8
"666","Bundanoon (NSW)","Buddhism",38
"667","Bundarra","Buddhism",4
"668","Bundeena","Buddhism",21
"669","Bundella","Buddhism",0
"670","Bundemar","Buddhism",0
"671","Bundewallah","Buddhism",0
"672","Bundook","Buddhism",0
"673","Bundure","Buddhism",0
"674","Bungaba","Buddhism",0
"675","Bungabbee","Buddhism",0
"676","Bungalora","Buddhism",0
"677","Bungarby","Buddhism",0
"678","Bungawalbin","Buddhism",0
"679","Bungendore","Buddhism",24
"680","Bungonia","Buddhism",3
"681","Bungowannah","Buddhism",3
"682","Bungwahl","Buddhism",3
"683","Bunnaloo","Buddhism",0
"684","Bunnan","Buddhism",0
"685","Bunyah","Buddhism",0
"686","Bunyan","Buddhism",0
"687","Burcher","Buddhism",0
"688","Bureen","Buddhism",0
"689","Burnt Bridge","Buddhism",0
"690","Burnt Yards","Buddhism",0
"691","Buronga","Buddhism",0
"692","Burra (Queanbeyan-Palerang Regional - NSW)","Buddhism",0
"693","Burra (Snowy Valleys - NSW)","Buddhism",0
"694","Burra Creek","Buddhism",0
"695","Burraboi","Buddhism",0
"696","Burradoo","Buddhism",7
"697","Burraga","Buddhism",0
"698","Burragate","Buddhism",5
"699","Burrandana","Buddhism",0
"700","Burraneer","Buddhism",7
"701","Burrangong","Buddhism",0
"702","Burrapine","Buddhism",0
"703","Burrawang","Buddhism",3
"704","Burrell Creek","Buddhism",0
"705","Burren Junction","Buddhism",0
"706","Burrier","Buddhism",0
"707","Burrill Lake","Buddhism",26
"708","Burringbar","Buddhism",17
"709","Burrinjuck","Buddhism",0
"710","Burroway","Buddhism",0
"711","Burrumbuttock","Buddhism",0
"712","Burrundulla","Buddhism",0
"713","Burwood (NSW)","Buddhism",1487
"714","Burwood Heights","Buddhism",42
"715","Busby","Buddhism",337
"716","Busbys Flat","Buddhism",0
"717","Bushells Ridge","Buddhism",0
"718","Buttaba","Buddhism",7
"719","Buttai","Buddhism",4
"720","Butterwick","Buddhism",0
"721","Buxton (NSW)","Buddhism",4
"722","Byabarra","Buddhism",4
"723","Byadbo Wilderness","Buddhism",0
"724","Byangum","Buddhism",4
"725","Bylong","Buddhism",0
"726","Byng","Buddhism",0
"727","Byrock","Buddhism",0
"728","Byron Bay","Buddhism",121
"729","Byrrill Creek","Buddhism",0
"730","Bywong","Buddhism",15
"731","Cabarita (NSW)","Buddhism",73
"732","Cabarita Beach","Buddhism",3
"733","Cabbage Tree Island (Ballina - NSW)","Buddhism",0
"734","Cabbage Tree Island (Mid-Coast - NSW)","Buddhism",0
"735","Cabramatta","Buddhism",9347
"736","Cabramatta West","Buddhism",2723
"737","Cabramurra","Buddhism",0
"738","Cadgee (NSW)","Buddhism",0
"739","Cadia","Buddhism",0
"740","Caffreys Flat","Buddhism",0
"741","Cairncross","Buddhism",0
"742","Calala","Buddhism",12
"743","Calamia","Buddhism",0
"744","Calderwood","Buddhism",0
"745","Caldwell","Buddhism",0
"746","Calga","Buddhism",3
"747","Califat","Buddhism",0
"748","Calimo","Buddhism",0
"749","Callaghan","Buddhism",41
"750","Callaghans Creek","Buddhism",0
"751","Callala Bay","Buddhism",13
"752","Callala Beach","Buddhism",7
"753","Calliope (NSW)","Buddhism",0
"754","Caloola","Buddhism",0
"755","Cambalong","Buddhism",0
"756","Camberwell (NSW)","Buddhism",0
"757","Cambewarra","Buddhism",0
"758","Cambewarra Village","Buddhism",6
