"","V1","SSC","variable","value"
"618","3009","North Strathfield","Train",869
"619","3010","North Sydney","Train",1206
"620","3013","North Turramurra","Train",143
"621","3015","North Wahroonga","Train",131
"622","3016","North Willoughby","Train",39
"623","3017","North Wollongong","Train",50
"624","3022","Northbridge (NSW)","Train",20
"625","3023","Northmead","Train",166
"626","3024","Northwood (NSW)","Train",12
"627","3028","Nowra","Train",7
"628","3029","Nowra Hill","Train",3
"629","3053","Oak Flats","Train",29
"630","3054","Oakdale (NSW)","Train",3
"631","3058","Oakhurst (NSW)","Train",225
"632","3060","Oakville","Train",34
"633","3063","Oatlands (NSW)","Train",96
"634","3064","Oatley","Train",1215
"635","3077","Old Guildford","Train",81
"636","3081","Old Toongabbie","Train",75
"637","3091","Oran Park","Train",84
"638","3094","Orangeville","Train",8
"639","3095","Orchard Hills","Train",27
"640","3101","Otford","Train",34
"641","3103","Ourimbah","Train",80
"642","3110","Oxley Park","Train",76
"643","3112","Oyster Bay","Train",363
"644","3115","Paddington (NSW)","Train",512
"645","3120","Padstow","Train",1128
"646","3121","Padstow Heights","Train",119
"647","3125","Pagewood","Train",20
"648","3132","Palm Beach (NSW)","Train",11
"649","3144","Panania","Train",974
"650","3153","Parklea","Train",48
"651","3156","Parramatta","Train",3763
"652","3168","Peakhurst","Train",565
"653","3169","Peakhurst Heights","Train",94
"654","3171","Pearl Beach","Train",18
"655","3181","Pemulwuy","Train",182
"656","3182","Pendle Hill","Train",687
"657","3183","Pennant Hills","Train",834
"658","3184","Penrith","Train",587
"659","3186","Penshurst (NSW)","Train",1719
"660","3190","Petersham","Train",1345
"661","3191","Pheasants Nest","Train",8
"662","3192","Phegans Bay","Train",16
"663","3199","Picnic Point","Train",291
"664","3200","Picton (NSW)","Train",67
"665","3226","Pitt Town","Train",30
"666","3229","Pleasure Point","Train",30
"667","3230","Plumpton (NSW)","Train",393
"668","3231","Point Clare","Train",161
"669","3232","Point Frederick","Train",57
"670","3233","Point Piper","Train",20
"671","3244","Port Hacking","Train",29
"672","3245","Port Kembla","Train",29
"673","3250","Portland (NSW)","Train",4
"674","3255","Potts Hill","Train",84
"675","3256","Potts Point","Train",1411
"676","3258","Prairiewood","Train",45
"677","3260","Prestons","Train",441
"678","3261","Pretty Beach (Central Coast - NSW)","Train",11
"679","3264","Primbee","Train",5
"680","3266","Prospect (NSW)","Train",119
"681","3273","Punchbowl (Canterbury-Bankstown - NSW)","Train",947
"682","3277","Putney","Train",40
"683","3281","Pymble","Train",1156
"684","3284","Pyrmont","Train",384
"685","3286","Quakers Hill","Train",1720
"686","3294","Queens Park (NSW)","Train",341
"687","3303","Raby","Train",167
"688","3309","Ramsgate","Train",26
"689","3310","Ramsgate Beach","Train",34
"690","3312","Randwick","Train",189
"691","3315","Rankin Park","Train",6
"692","3328","Razorback","Train",9
"693","3339","Redfern","Train",1766
"694","3340","Redhead","Train",3
"695","3345","Regents Park (NSW)","Train",363
"696","3346","Regentville","Train",13
"697","3355","Revesby","Train",1130
"698","3356","Revesby Heights","Train",93
"699","3358","Rhodes","Train",2386
"700","3360","Richmond (NSW)","Train",138
"701","3368","Riverstone","Train",254
"702","3370","Riverview (NSW)","Train",31
"703","3371","Riverwood","Train",1168
"704","3374","Robertson (NSW)","Train",4
"705","3379","Rockdale","Train",2783
"706","3395","Rooty Hill","Train",1023
"707","3397","Ropes Crossing","Train",326
"708","3398","Rose Bay (NSW)","Train",74
"709","3405","Rosebery (NSW)","Train",361
"710","3408","Rosehill (NSW)","Train",320
"711","3409","Roselands","Train",466
"712","3410","Rosemeadow","Train",209
"713","3412","Roseville","Train",1060
"714","3413","Roseville Chase","Train",12
"715","3420","Rossmore (NSW)","Train",37
"716","3429","Rouse Hill","Train",49
"717","3443","Ruse","Train",153
"718","3444","Rushcutters Bay","Train",413
"719","3448","Russell Vale","Train",16
"720","3449","Rutherford","Train",17
"721","3453","Rydalmere","Train",162
"722","3454","Ryde","Train",689
"723","3458","Sackville","Train",3
"724","3461","Sadleir","Train",34
"725","3470","San Remo (NSW)","Train",17
"726","3478","Sandringham (NSW)","Train",34
"727","3487","Sandy Point (NSW)","Train",12
"728","3489","Sans Souci","Train",202
"729","3491","Sapphire Beach","Train",4
"730","3492","Saratoga","Train",32
"731","3500","Scarborough (NSW)","Train",3
"732","3502","Schofields","Train",271
"733","3503","Scone","Train",6
"734","3516","Sefton","Train",246
"735","3518","Seven Hills (NSW)","Train",1185
"736","3523","Shalvey","Train",42
"737","3524","Shanes Park","Train",3
"738","3532","Shell Cove","Train",49
"739","3533","Shellharbour","Train",20
"740","3535","Shelly Beach (NSW)","Train",3
"741","3540","Shoalhaven Heads","Train",3
"742","3542","Shortland","Train",3
"743","3544","Silverdale (NSW)","Train",16
"744","3547","Silverwater (Parramatta - NSW)","Train",58
"745","3559","Smithfield (NSW)","Train",198
"746","3571","Somersby","Train",4
"747","3583","South Granville","Train",100
"748","3587","South Hurstville","Train",319
"749","3594","South Nowra","Train",3
"750","3596","South Penrith","Train",240
"751","3598","South Turramurra","Train",105
"752","3599","South Wentworthville","Train",173
"753","3601","South Windsor","Train",112
"754","3605","Speers Point","Train",6
